	Acutalibacter_muris_KB1	Enterococcus_faecalis_KB1	In	InAmount	Out	OutAmount	All	AllAmount
L-Valine-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Mn2+-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-Acetyl-D-chondrosamine-e0	0.0	0.0		0		0		0
N-Acetyl-D-glucosamine-e0	0.0	-1.655497960939556e-11	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
N-acetyl-D-galactosamine	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	0.0		0		0		0
N-acetylneuraminate (as sialic residue)	0.0	0.0		0		0		0
NH3-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Na+-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Niacin	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Nickel	0.0	0.0		0		0		0
O2-e0	0.0	-7.881278962784677e-12	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Oleic acid	0.0	0.0		0		0		0
PAN	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Phosphoethanolamine	0.0	0.0		0		0		0
Propanal-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Puryvate	5.660055757417126e-14	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Putrescine-e0	0.0	-7.495337683849357e-12	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Pyridoxal	193.59229303344998	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2	Acutalibacter_muris_KB1	1	Acutalibacter_muris_KB1Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	3
Riboflavin	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Riboflavin-e0	0.0	96.79614653124135	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1	2
Selenium	0.0	0.0		0		0		0
Spermidine-e0	-1.7794793416570087e-14	-2.991029646182142e-11	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Sucrose	0.0	0.0		0		0		0
Sucrose-e0	0.0	0.0		0		0		0
Sulfate-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Thiamin-e0	0.0	-6.284506248732669e-11	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Thiamine	2.957634137601417e-13	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Uracil-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Urea-e0	0.0	0.0		0		0		0
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
XAN-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
XAN-e0-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Zn2+-e0	0.0	0.0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		0	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
acetylhexosamine	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
lactate	0.0	0.0		0		0		0
